ts_run,schedule_slot,target_draw_id,window_n,top3,top12,best_signal,best_a11,ok_alert,source_rows_hist_used,same_day_mid_present,mid_today_nums,debug_json,model_version
2026-02-19T05:16:14Z,manual,LN|2026-02-19|MID,120,"06,82,52","06,82,52,42,77,78,18,83,88,97,20,91",0.27228028870006005,12,1,120,0,,"{'window_used': 120, 'top_score': 0.27228028870006005, 'top12_bottom_score': 0.2620903378029984, 'best_a11': 12}",LN-quiniela-v1
2026-02-19T19:30:12Z,13:00,LN|2026-02-19|NIGHT,120,"13,71,16","13,71,16,19,40,61,06,95,56,39,14,52",0.2765453181968924,12,1,120,1,"31,30,04","{'window_used': 120, 'top_score': 0.2765453181968924, 'top12_bottom_score': 0.25920052846500913, 'best_a11': 12}",LN-quiniela-v1
2026-02-19T21:03:37Z,16:00,LN|2026-02-19|NIGHT,120,"13,71,16","13,71,16,19,40,61,06,95,56,39,14,52",0.2765453181968924,12,1,120,1,"31,30,04","{'window_used': 120, 'top_score': 0.2765453181968924, 'top12_bottom_score': 0.25920052846500913, 'best_a11': 12}",LN-quiniela-v1
2026-02-20T14:33:59Z,manual,LN|2026-02-20|MID,120,"06,82,52","06,82,52,42,77,78,83,18,20,88,97,91",0.2721097046603834,12,1,120,0,,"{'window_used': 120, 'top_score': 0.2721097046603834, 'top12_bottom_score': 0.2609155311452723, 'best_a11': 12}",LN-quiniela-v1
2026-02-20T19:26:05Z,13:00,LN|2026-02-20|NIGHT,120,"13,71,16","13,71,16,19,40,61,06,56,14,39,44,52",0.2768225551798398,12,1,120,1,"87,72,63","{'window_used': 120, 'top_score': 0.2768225551798398, 'top12_bottom_score': 0.25932868656197355, 'best_a11': 12}",LN-quiniela-v1
2026-02-20T20:57:37Z,16:00,LN|2026-02-20|NIGHT,120,"13,71,16","13,71,16,19,40,61,06,56,14,39,44,52",0.2768225551798398,12,1,120,1,"87,72,63","{'window_used': 120, 'top_score': 0.2768225551798398, 'top12_bottom_score': 0.25932868656197355, 'best_a11': 12}",LN-quiniela-v1
2026-02-21T15:52:29Z,manual,LN|2026-02-21|MID,120,"06,82,52","06,82,52,42,77,20,78,83,18,88,97,91",0.2719047621237212,12,1,120,0,,"{'window_used': 120, 'top_score': 0.2719047621237212, 'top12_bottom_score': 0.26067946915466, 'best_a11': 12}",LN-quiniela-v1
2026-02-21T17:53:23Z,13:00,LN|2026-02-21|MID,120,"06,82,52","06,82,52,42,77,20,78,83,18,88,97,91",0.2719047621237212,12,1,120,0,,"{'window_used': 120, 'top_score': 0.2719047621237212, 'top12_bottom_score': 0.26067946915466, 'best_a11': 12}",LN-quiniela-v1
2026-02-21T18:52:10Z,manual,LN|2026-02-21|NIGHT,120,"13,71,16","13,71,16,19,40,56,61,06,14,39,27,44",0.2769935505481693,12,1,120,1,"12,55,84","{'window_used': 120, 'top_score': 0.2769935505481693, 'top12_bottom_score': 0.2602835186928419, 'best_a11': 12}",LN-quiniela-v1
2026-02-21T20:50:09Z,16:00,LN|2026-02-21|NIGHT,120,"13,71,16","13,71,16,19,40,56,61,06,14,39,27,44",0.2769935505481693,12,1,120,1,"12,55,84","{'window_used': 120, 'top_score': 0.2769935505481693, 'top12_bottom_score': 0.2602835186928419, 'best_a11': 12}",LN-quiniela-v1
2026-02-24T13:01:10Z,manual,LN|2026-02-24|MID,120,"08,25,07","08,25,07,51,19,42,99,28,80,71,23,52",9.5,11,1,120,0,,"{'unique_numbers': 98, 'window_used': 120}",LN-quiniela-v1
2026-02-24T22:51:41Z,manual,LN|2026-02-24|NIGHT,120,"38,79,02","38,79,02,11,35,36,37,58,13,70,68,21",2.827655820589808,8,0,120,1,"37,40,31","{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-02-25T16:55:25Z,manual,LN|2026-02-25|MID,120,"25,19,39","25,19,39,80,99,68,93,60,08,04,26,07",2.3656155282456233,5,0,120,0,,"{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-02-25T17:54:09Z,13:00,LN|2026-02-25|MID,120,"25,19,39","25,19,39,80,99,68,93,60,08,04,26,07",2.3656155282456233,5,0,120,0,,"{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-02-25T20:23:31Z,16:00,LN|2026-02-25|NIGHT,120,"38,79,02","38,79,02,35,11,36,37,58,13,68,21,24",2.8415285766271627,8,0,120,1,"15,80,67","{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-02-26T17:53:58Z,manual,LN|2026-02-26|MID,120,"25,19,39","25,19,39,68,93,60,04,08,26,07,23,80",2.352626524976487,5,0,120,0,,"{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-02-26T20:23:35Z,16:00,LN|2026-02-26|NIGHT,120,"38,79,35","38,79,35,02,11,36,21,58,37,68,13,24",2.8476982730738487,8,0,120,1,"12,94,21","{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-02-27T17:31:08Z,13:00,LN|2026-02-27|MID,120,"19,39,25","19,39,25,68,93,04,08,26,80,07,23,99",2.223864939077531,4,0,120,0,,"{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-02-27T19:34:06Z,manual,LN|2026-02-27|NIGHT,120,"38,79,35","38,79,35,02,36,37,68,11,21,13,00,24",2.8486882133508766,8,0,120,1,"12,94,21","{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-02-27T20:17:02Z,16:00,LN|2026-02-27|NIGHT,120,"38,79,35","38,79,35,02,36,37,68,11,21,13,00,24",2.8486882133508766,8,0,120,1,"12,94,21","{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-02-28T17:16:29Z,13:00,LN|2026-02-28|MID,120,"19,39,25","19,39,25,68,93,04,08,26,80,07,23,99",2.223864939077531,4,0,120,0,,"{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-02-28T20:12:39Z,16:00,LN|2026-02-28|NIGHT,120,"38,79,35","38,79,35,02,36,37,68,11,21,13,00,24",2.8486882133508766,8,0,120,1,"81,48,75","{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-03-01T17:18:41Z,13:00,LN|2026-03-01|MID,120,"19,39,25","19,39,25,68,93,04,80,08,26,07,23,12",2.2342123793645037,4,0,120,0,,"{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-03-01T20:13:07Z,16:00,LN|2026-03-01|NIGHT,120,"38,79,35","38,79,35,02,36,37,68,21,00,11,13,08",2.846001899122684,7,0,120,1,"57,00,53","{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-03-02T17:39:47Z,13:00,LN|2026-03-02|MID,120,"19,39,25","19,39,25,68,93,80,04,08,26,07,12,23",2.2407432026461067,4,0,120,0,,"{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
2026-03-02T20:22:42Z,16:00,LN|2026-03-02|NIGHT,120,"38,79,35","38,79,35,02,08,36,37,68,11,21,00,80",2.84060680239216,7,0,120,1,"55,51,91","{'window_used': 200, 'regime': 'MEAN_REVERSION', 'unique_numbers': 100}",LN-quiniela-v1
